regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude
Nordeste,MA,Itinga do Maranhão,21,210542,21001,ACAILANDIA
Nordeste,MA,Jatobá,21,210545,21015,SAO JOAO DOS PATOS
Nordeste,MA,Jenipapo dos Vieiras,21,210547,21004,BARRA DO CORDA
Nordeste,MA,João Lisboa,21,210550,21008,IMPERATRIZ
Nordeste,MA,Joselândia,21,210560,21012,PRESIDENTE DUTRA
Nordeste,MA,Junco do Maranhão,21,210565,21019,ZE DOCA
Nordeste,MA,Lago da Pedra,21,210570,21010,PEDREIRAS
Nordeste,MA,Lago do Junco,21,210580,21010,PEDREIRAS
Nordeste,MA,Lago Verde,21,210590,21002,BACABAL
Nordeste,MA,Lagoa do Mato,21,210592,21015,SAO JOAO DOS PATOS
Nordeste,MA,Lago dos Rodrigues,21,210594,21010,PEDREIRAS
Nordeste,MA,Lagoa Grande do Maranhão,21,210596,21010,PEDREIRAS
Nordeste,MA,Lajeado Novo,21,210598,21008,IMPERATRIZ
Nordeste,MA,Lima Campos,21,210600,21010,PEDREIRAS
Nordeste,MA,Loreto,21,210610,21003,BALSAS
Nordeste,MA,Luís Domingues,21,210620,21019,ZE DOCA
Nordeste,MA,Magalhães de Almeida,21,210630,21006,CHAPADINHA
Nordeste,MA,Maracaçumé,21,210632,21019,ZE DOCA
Nordeste,MA,Marajá do Sena,21,210635,21002,BACABAL
Nordeste,MA,Maranhãozinho,21,210637,21019,ZE DOCA
Nordeste,MA,Mata Roma,21,210640,21006,CHAPADINHA
Nordeste,MA,Matinha,21,210650,21018,VIANA
Nordeste,MA,Matões,21,210660,21017,TIMON
Nordeste,MA,Matões do Norte,21,210663,21009,ITAPECURU MIRIM
Nordeste,MA,Milagres do Maranhão,21,210667,21006,CHAPADINHA
Nordeste,MA,Mirador,21,210670,21015,SAO JOAO DOS PATOS
Nordeste,MA,Miranda do Norte,21,210675,21009,ITAPECURU MIRIM
Nordeste,MA,Mirinzal,21,210680,21011,PINHEIRO
Nordeste,MA,Monção,21,210690,21014,SANTA INES
Nordeste,MA,Montes Altos,21,210700,21008,IMPERATRIZ
Nordeste,MA,Morros,21,210710,21013,ROSARIO
Nordeste,MA,Nina Rodrigues,21,210720,21009,ITAPECURU MIRIM
Nordeste,MA,Nova Colinas,21,210725,21003,BALSAS
Nordeste,MA,Nova Iorque,21,210730,21015,SAO JOAO DOS PATOS
Nordeste,MA,Nova Olinda do Maranhão,21,210735,21019,ZE DOCA
Nordeste,MA,Olho d'Água das Cunhãs,21,210740,21002,BACABAL
Nordeste,MA,Olinda Nova do Maranhão,21,210745,21018,VIANA
Nordeste,MA,Paço do Lumiar,21,210750,21016,SAO LUIS
Nordeste,MA,Palmeirândia,21,210760,21018,VIANA
Nordeste,MA,Paraibano,21,210770,21015,SAO JOAO DOS PATOS
Nordeste,MA,Parnarama,21,210780,21017,TIMON
Nordeste,MA,Passagem Franca,21,210790,21015,SAO JOAO DOS PATOS
Nordeste,MA,Pastos Bons,21,210800,21015,SAO JOAO DOS PATOS
Nordeste,MA,Paulino Neves,21,210805,21006,CHAPADINHA
Nordeste,MA,Paulo Ramos,21,210810,21002,BACABAL
Nordeste,MA,Pedreiras,21,210820,21010,PEDREIRAS
Nordeste,MA,Pedro do Rosário,21,210825,21011,PINHEIRO
Nordeste,MA,Penalva,21,210830,21018,VIANA
Nordeste,MA,Peri Mirim,21,210840,21011,PINHEIRO
Nordeste,MA,Peritoró,21,210845,21007,CODO
Nordeste,MA,Pindaré-Mirim,21,210850,21014,SANTA INES
Nordeste,MA,Pinheiro,21,210860,21011,PINHEIRO
Nordeste,MA,Pio XII,21,210870,21014,SANTA INES
Nordeste,MA,Pirapemas,21,210880,21009,ITAPECURU MIRIM
Nordeste,MA,Poção de Pedras,21,210890,21010,PEDREIRAS
Nordeste,MA,Porto Franco,21,210900,21008,IMPERATRIZ
Nordeste,MA,Porto Rico do Maranhão,21,210905,21011,PINHEIRO
Nordeste,MA,Presidente Dutra,21,210910,21012,PRESIDENTE DUTRA
Nordeste,MA,Presidente Juscelino,21,210920,21013,ROSARIO
Nordeste,MA,Presidente Médici,21,210923,21019,ZE DOCA
Nordeste,MA,Presidente Sarney,21,210927,21011,PINHEIRO
Nordeste,MA,Presidente Vargas,21,210930,21009,ITAPECURU MIRIM
Nordeste,MA,Primeira Cruz,21,210940,21013,ROSARIO
Nordeste,MA,Raposa,21,210945,21016,SAO LUIS
Nordeste,MA,Riachão,21,210950,21003,BALSAS
Nordeste,MA,Ribamar Fiquene,21,210955,21008,IMPERATRIZ
Nordeste,MA,Rosário,21,210960,21013,ROSARIO
Nordeste,MA,Sambaíba,21,210970,21003,BALSAS
Nordeste,MA,Santa Filomena do Maranhão,21,210975,21012,PRESIDENTE DUTRA
Nordeste,MA,Santa Helena,21,210980,21011,PINHEIRO
Nordeste,MA,Santa Inês,21,210990,21014,SANTA INES
Nordeste,MA,Santa Luzia,21,211000,21014,SANTA INES
Nordeste,MA,Santa Luzia do Paruá,21,211003,21019,ZE DOCA
Nordeste,MA,Santa Quitéria do Maranhão,21,211010,21006,CHAPADINHA
Nordeste,MA,Santa Rita,21,211020,21013,ROSARIO
Nordeste,MA,Santana do Maranhão,21,211023,21006,CHAPADINHA
Nordeste,MA,Santo Amaro do Maranhão,21,211027,21013,ROSARIO
Nordeste,MA,Santo Antônio dos Lopes,21,211030,21012,PRESIDENTE DUTRA
Nordeste,MA,São Benedito do Rio Preto,21,211040,21009,ITAPECURU MIRIM
Nordeste,MA,São Bento,21,211050,21018,VIANA
Nordeste,MA,São Bernardo,21,211060,21006,CHAPADINHA
Nordeste,MA,São Domingos do Azeitão,21,211065,21015,SAO JOAO DOS PATOS
Nordeste,MA,São Domingos do Maranhão,21,211070,21012,PRESIDENTE DUTRA
Nordeste,MA,São Félix de Balsas,21,211080,21003,BALSAS
Nordeste,MA,São Francisco do Brejão,21,211085,21001,ACAILANDIA
Nordeste,MA,São Francisco do Maranhão,21,211090,21017,TIMON
Nordeste,MA,São João Batista,21,211100,21018,VIANA
Nordeste,MA,São João do Carú,21,211102,21014,SANTA INES
Nordeste,MA,São João do Paraíso,21,211105,21008,IMPERATRIZ
Nordeste,MA,São João do Soter,21,211107,21005,CAXIAS
Nordeste,MA,São João dos Patos,21,211110,21015,SAO JOAO DOS PATOS
Nordeste,MA,São José de Ribamar,21,211120,21016,SAO LUIS
Nordeste,MA,São José dos Basílios,21,211125,21012,PRESIDENTE DUTRA
Nordeste,MA,São Luís,21,211130,21016,SAO LUIS
Nordeste,MA,São Luís Gonzaga do Maranhão,21,211140,21002,BACABAL
Nordeste,MA,São Mateus do Maranhão,21,211150,21007,CODO
Nordeste,MA,São Pedro da Água Branca,21,211153,21001,ACAILANDIA
Nordeste,MA,São Pedro dos Crentes,21,211157,21003,BALSAS
Nordeste,MA,São Raimundo das Mangabeiras,21,211160,21003,BALSAS
Nordeste,MA,São Raimundo do Doca Bezerra,21,211163,21010,PEDREIRAS
Nordeste,MA,São Roberto,21,211167,21010,PEDREIRAS
Nordeste,MA,São Vicente Ferrer,21,211170,21018,VIANA
Nordeste,MA,Satubinha,21,211172,21014,SANTA INES
Nordeste,MA,Senador Alexandre Costa,21,211174,21012,PRESIDENTE DUTRA
Nordeste,MA,Senador La Rocque,21,211176,21008,IMPERATRIZ
Nordeste,MA,Serrano do Maranhão,21,211178,21011,PINHEIRO
Nordeste,MA,Sítio Novo,21,211180,21008,IMPERATRIZ
Nordeste,MA,Sucupira do Norte,21,211190,21015,SAO JOAO DOS PATOS
Nordeste,MA,Sucupira do Riachão,21,211195,21015,SAO JOAO DOS PATOS
Nordeste,MA,Tasso Fragoso,21,211200,21003,BALSAS
Nordeste,MA,Timbiras,21,211210,21007,CODO
Nordeste,MA,Timon,21,211220,21017,TIMON
Nordeste,MA,Trizidela do Vale,21,211223,21010,PEDREIRAS
Nordeste,MA,Tufilândia,21,211227,21014,SANTA INES
Nordeste,MA,Tuntum,21,211230,21012,PRESIDENTE DUTRA
Nordeste,MA,Turiaçu,21,211240,21011,PINHEIRO
Nordeste,MA,Turilândia,21,211245,21011,PINHEIRO
Nordeste,MA,Tutóia,21,211250,21006,CHAPADINHA
Nordeste,MA,Urbano Santos,21,211260,21009,ITAPECURU MIRIM
Nordeste,MA,Vargem Grande,21,211270,21009,ITAPECURU MIRIM
Nordeste,MA,Viana,21,211280,21018,VIANA
Nordeste,MA,Vila Nova dos Martírios,21,211285,21001,ACAILANDIA
Nordeste,MA,Vitória do Mearim,21,211290,21009,ITAPECURU MIRIM
Nordeste,MA,Vitorino Freire,21,211300,21002,BACABAL
Nordeste,MA,Zé Doca,21,211400,21019,ZE DOCA
