codmun,municipio,codRegiaoSaude,nomeRegiaoSaude,populacao
210680,Mirinzal,21011,PINHEIRO,14962
210690,Monção,21014,SANTA INES,33434
210700,Montes Altos,21008,IMPERATRIZ,9160
210710,Morros,21013,ROSARIO,19433
210720,Nina Rodrigues,21009,ITAPECURU MIRIM,14454
210725,Nova Colinas,21003,BALSAS,5384
210730,Nova Iorque,21015,SAO JOAO DOS PATOS,4683
210735,Nova Olinda do Maranhão,21019,ZE DOCA,20928
210740,Olho d'Água das Cunhãs,21002,BACABAL,19505
210745,Olinda Nova do Maranhão,21018,VIANA,14701
210750,Paço do Lumiar,21016,SAO LUIS,122197
210760,Palmeirândia,21018,VIANA,19722
210770,Paraibano,21015,SAO JOAO DOS PATOS,21386
210780,Parnarama,21017,TIMON,34907
210790,Passagem Franca,21015,SAO JOAO DOS PATOS,19019
210800,Pastos Bons,21015,SAO JOAO DOS PATOS,19472
210805,Paulino Neves,21006,CHAPADINHA,16035
210810,Paulo Ramos,21002,BACABAL,21040
210820,Pedreiras,21010,PEDREIRAS,39229
210825,Pedro do Rosário,21011,PINHEIRO,25144
210830,Penalva,21018,VIANA,38470
210840,Peri Mirim,21011,PINHEIRO,14318
210845,Peritoró,21007,CODO,23196
210850,Pindaré-Mirim,21014,SANTA INES,32941
210860,Pinheiro,21011,PINHEIRO,83387
210870,Pio XII,21014,SANTA INES,21485
210880,Pirapemas,21009,ITAPECURU MIRIM,18625
210890,Poção de Pedras,21010,PEDREIRAS,17873
210900,Porto Franco,21008,IMPERATRIZ,23885
210905,Porto Rico do Maranhão,21011,PINHEIRO,5975
210910,Presidente Dutra,21012,PRESIDENTE DUTRA,47804
210920,Presidente Juscelino,21013,ROSARIO,12734
210923,Presidente Médici,21019,ZE DOCA,7015
210927,Presidente Sarney,21011,PINHEIRO,18918
210930,Presidente Vargas,21009,ITAPECURU MIRIM,11193
210940,Primeira Cruz,21013,ROSARIO,15315
210945,Raposa,21016,SAO LUIS,30761
210950,Riachão,21003,BALSAS,20195
210955,Ribamar Fiquene,21008,IMPERATRIZ,7791
210960,Rosário,21013,ROSARIO,42740
210970,Sambaíba,21003,BALSAS,5671
210975,Santa Filomena do Maranhão,21012,PRESIDENTE DUTRA,7773
210980,Santa Helena,21011,PINHEIRO,42130
210990,Santa Inês,21014,SANTA INES,89044
211000,Santa Luzia,21014,SANTA INES,72667
