City Name,State Name,ranking_city,City Name,Dia_mes_ano,Dt,Média de Isolated_city
Pirapemas,Maranhão,24,Pirapemas,06/05/2020,06/05/2020,36.00
Pio XII,Maranhão,143,Pio XII,06/05/2020,06/05/2020,46.00
Pinheiro,Maranhão,159,Pinheiro,06/05/2020,06/05/2020,47.90
Pindaré-Mirim,Maranhão,179,Pindaré-Mirim,06/05/2020,06/05/2020,49.70
Peritoró,Maranhão,109,Peritoró,06/05/2020,06/05/2020,43.60
Peri Mirim,Maranhão,180,Peri Mirim,06/05/2020,06/05/2020,50.00
Penalva,Maranhão,68,Penalva,06/05/2020,06/05/2020,41.40
Pedro do Rosário,Maranhão,28,Pedro do Rosário,06/05/2020,06/05/2020,37.30
Pedreiras,Maranhão,117,Pedreiras,06/05/2020,06/05/2020,44.30
Paulo Ramos,Maranhão,20,Paulo Ramos,06/05/2020,06/05/2020,35.10
Paulino Neves,Maranhão,160,Paulino Neves,06/05/2020,06/05/2020,47.90
Pastos Bons,Maranhão,2,Pastos Bons,06/05/2020,06/05/2020,26.80
Passagem Franca,Maranhão,9,Passagem Franca,06/05/2020,06/05/2020,32.60
Parnarama,Maranhão,152,Parnarama,06/05/2020,06/05/2020,46.80
Paraibano,Maranhão,131,Paraibano,06/05/2020,06/05/2020,45.00
Palmeirândia,Maranhão,187,Palmeirândia,06/05/2020,06/05/2020,51.20
Paço do Lumiar,Maranhão,199,Paço do Lumiar,06/05/2020,06/05/2020,53.00
Olinda Nova do Maranhão,Maranhão,189,Olinda Nova do Maranhão,06/05/2020,06/05/2020,51.30
Olho d'Água das Cunhãs,Maranhão,67,Olho d'Água das Cunhãs,06/05/2020,06/05/2020,41.40
Nova Olinda do Maranhão,Maranhão,69,Nova Olinda do Maranhão,06/05/2020,06/05/2020,41.40
Nova Iorque,Maranhão,208,Nova Iorque,06/05/2020,06/05/2020,56.80
Nova Colinas,Maranhão,141,Nova Colinas,06/05/2020,06/05/2020,45.90
Nina Rodrigues,Maranhão,66,Nina Rodrigues,06/05/2020,06/05/2020,41.40
Morros,Maranhão,36,Morros,06/05/2020,06/05/2020,37.90
Montes Altos,Maranhão,164,Montes Altos,06/05/2020,06/05/2020,48.00
Monção,Maranhão,80,Monção,06/05/2020,06/05/2020,42.00
Mirinzal,Maranhão,196,Mirinzal,06/05/2020,06/05/2020,51.90
Miranda do Norte,Maranhão,33,Miranda do Norte,06/05/2020,06/05/2020,37.60
Mirador,Maranhão,88,Mirador,06/05/2020,06/05/2020,42.30
