City Name;State Name;ranking_city;City Name;Dia_mes_ano;Dt;Média de Isolated_city
Poção de Pedras;Maranhão;55;Poção de Pedras;06/05/2020;06/05/2020;0,4010
Pirapemas;Maranhão;24;Pirapemas;06/05/2020;06/05/2020;0,3600
Pio XII;Maranhão;143;Pio XII;06/05/2020;06/05/2020;0,4600
Pinheiro;Maranhão;159;Pinheiro;06/05/2020;06/05/2020;0,4790
Pindaré-Mirim;Maranhão;179;Pindaré-Mirim;06/05/2020;06/05/2020;0,4970
Peritoró;Maranhão;109;Peritoró;06/05/2020;06/05/2020;0,4360
Peri Mirim;Maranhão;180;Peri Mirim;06/05/2020;06/05/2020;0,5000
Penalva;Maranhão;68;Penalva;06/05/2020;06/05/2020;0,4140
Pedro do Rosário;Maranhão;28;Pedro do Rosário;06/05/2020;06/05/2020;0,3730
Pedreiras;Maranhão;117;Pedreiras;06/05/2020;06/05/2020;0,4430
Paulo Ramos;Maranhão;20;Paulo Ramos;06/05/2020;06/05/2020;0,3510
Paulino Neves;Maranhão;160;Paulino Neves;06/05/2020;06/05/2020;0,4790
Pastos Bons;Maranhão;2;Pastos Bons;06/05/2020;06/05/2020;0,2680
Passagem Franca;Maranhão;9;Passagem Franca;06/05/2020;06/05/2020;0,3260
Parnarama;Maranhão;152;Parnarama;06/05/2020;06/05/2020;0,4680
Paraibano;Maranhão;131;Paraibano;06/05/2020;06/05/2020;0,4500
Palmeirândia;Maranhão;187;Palmeirândia;06/05/2020;06/05/2020;0,5120
Paço do Lumiar;Maranhão;199;Paço do Lumiar;06/05/2020;06/05/2020;0,5300
Olinda Nova do Maranhão;Maranhão;189;Olinda Nova do Maranhão;06/05/2020;06/05/2020;0,5130
Olho d'Água das Cunhãs;Maranhão;67;Olho d'Água das Cunhãs;06/05/2020;06/05/2020;0,4140
Nova Olinda do Maranhão;Maranhão;69;Nova Olinda do Maranhão;06/05/2020;06/05/2020;0,4140
Nova Iorque;Maranhão;208;Nova Iorque;06/05/2020;06/05/2020;0,5680
Nova Colinas;Maranhão;141;Nova Colinas;06/05/2020;06/05/2020;0,4590
Nina Rodrigues;Maranhão;66;Nina Rodrigues;06/05/2020;06/05/2020;0,4140
Morros;Maranhão;36;Morros;06/05/2020;06/05/2020;0,3790
Montes Altos;Maranhão;164;Montes Altos;06/05/2020;06/05/2020;0,4800
Monção;Maranhão;80;Monção;06/05/2020;06/05/2020;0,4200
Mirinzal;Maranhão;196;Mirinzal;06/05/2020;06/05/2020;0,5190
Miranda do Norte;Maranhão;33;Miranda do Norte;06/05/2020;06/05/2020;0,3760
Mirador;Maranhão;88;Mirador;06/05/2020;06/05/2020;0,4230
Milagres do Maranhão;Maranhão;136;Milagres do Maranhão;06/05/2020;06/05/2020;0,4520
Matões do Norte;Maranhão;83;Matões do Norte;06/05/2020;06/05/2020;0,4210
Matões;Maranhão;19;Matões;06/05/2020;06/05/2020;0,3510
Matinha;Maranhão;154;Matinha;06/05/2020;06/05/2020;0,4700
Mata Roma;Maranhão;119;Mata Roma;06/05/2020;06/05/2020;0,4440
Maranhãozinho;Maranhão;61;Maranhãozinho;06/05/2020;06/05/2020;0,4100
Marajá do Sena;Maranhão;207;Marajá do Sena;06/05/2020;06/05/2020;0,5640
Maracaçumé;Maranhão;95;Maracaçumé;06/05/2020;06/05/2020;0,4270
Magalhães de Almeida;Maranhão;139;Magalhães de Almeida;06/05/2020;06/05/2020;0,4560
Luís Domingues;Maranhão;209;Luís Domingues;06/05/2020;06/05/2020;0,5750
Loreto;Maranhão;23;Loreto;06/05/2020;06/05/2020;0,3570
Lima Campos;Maranhão;172;Lima Campos;06/05/2020;06/05/2020;0,4900
Lajeado Novo;Maranhão;6;Lajeado Novo;06/05/2020;06/05/2020;0,2900
Lagoa Grande do Maranhão;Maranhão;54;Lagoa Grande do Maranhão;06/05/2020;06/05/2020;0,4000
Lagoa do Mato;Maranhão;100;Lagoa do Mato;06/05/2020;06/05/2020;0,4290
Lago Verde;Maranhão;104;Lago Verde;06/05/2020;06/05/2020;0,4310
Lago dos Rodrigues;Maranhão;21;Lago dos Rodrigues;06/05/2020;06/05/2020;0,3510
Lago do Junco;Maranhão;124;Lago do Junco;06/05/2020;06/05/2020;0,4480
Lago da Pedra;Maranhão;99;Lago da Pedra;06/05/2020;06/05/2020;0,4290
Junco do Maranhão;Maranhão;12;Junco do Maranhão;06/05/2020;06/05/2020;0,3330
Joselândia;Maranhão;73;Joselândia;06/05/2020;06/05/2020;0,4170
João Lisboa;Maranhão;148;João Lisboa;06/05/2020;06/05/2020;0,4650
Jenipapo dos Vieiras;Maranhão;146;Jenipapo dos Vieiras;06/05/2020;06/05/2020;0,4630
Jatobá;Maranhão;166;Jatobá;06/05/2020;06/05/2020;0,4830
Itinga do Maranhão;Maranhão;150;Itinga do Maranhão;06/05/2020;06/05/2020;0,4670
Itapecuru-Mirim;Maranhão;85;Itapecuru-Mirim;06/05/2020;06/05/2020;0,4220
Itaipava do Grajaú;Maranhão;200;Itaipava do Grajaú;06/05/2020;06/05/2020;0,5330
Imperatriz;Maranhão;118;Imperatriz;06/05/2020;06/05/2020;0,4440
Igarapé Grande;Maranhão;162;Igarapé Grande;06/05/2020;06/05/2020;0,4790
Igarapé do Meio;Maranhão;29;Igarapé do Meio;06/05/2020;06/05/2020;0,3740
Icatu;Maranhão;76;Icatu;06/05/2020;06/05/2020;0,4190
Humberto de Campos;Maranhão;186;Humberto de Campos;06/05/2020;06/05/2020;0,5110
Guimarães;Maranhão;87;Guimarães;06/05/2020;06/05/2020;0,4230
Grajaú;Maranhão;71;Grajaú;06/05/2020;06/05/2020;0,4160
Graça Aranha;Maranhão;203;Graça Aranha;06/05/2020;06/05/2020;0,5540
Governador Nunes Freire;Maranhão;64;Governador Nunes Freire;06/05/2020;06/05/2020;0,4120
Governador Newton Bello;Maranhão;204;Governador Newton Bello;06/05/2020;06/05/2020;0,5610
Governador Luiz Rocha;Maranhão;8;Governador Luiz Rocha;06/05/2020;06/05/2020;0,3240
Governador Eugênio Barros;Maranhão;191;Governador Eugênio Barros;06/05/2020;06/05/2020;0,5160
Governador Edison Lobão;Maranhão;122;Governador Edison Lobão;06/05/2020;06/05/2020;0,4460
Governador Archer;Maranhão;50;Governador Archer;06/05/2020;06/05/2020;0,3980
Gonçalves Dias;Maranhão;188;Gonçalves Dias;06/05/2020;06/05/2020;0,5120
Godofredo Viana;Maranhão;184;Godofredo Viana;06/05/2020;06/05/2020;0,5050
Fortuna;Maranhão;47;Fortuna;06/05/2020;06/05/2020;0,3970
Fortaleza dos Nogueiras;Maranhão;114;Fortaleza dos Nogueiras;06/05/2020;06/05/2020;0,4400
Formosa da Serra Negra;Maranhão;15;Formosa da Serra Negra;06/05/2020;06/05/2020;0,3460
Fernando Falcão;Maranhão;120;Fernando Falcão;06/05/2020;06/05/2020;0,4440
Feira Nova do Maranhão;Maranhão;4;Feira Nova do Maranhão;06/05/2020;06/05/2020;0,2860
Estreito;Maranhão;78;Estreito;06/05/2020;06/05/2020;0,4190
Esperantinópolis;Maranhão;62;Esperantinópolis;06/05/2020;06/05/2020;0,4110
Duque Bacelar;Maranhão;11;Duque Bacelar;06/05/2020;06/05/2020;0,3330
Dom Pedro;Maranhão;81;Dom Pedro;06/05/2020;06/05/2020;0,4200
Davinópolis;Maranhão;110;Davinópolis;06/05/2020;06/05/2020;0,4360
Cururupu;Maranhão;97;Cururupu;06/05/2020;06/05/2020;0,4270
